,中国共产党,地方政府,公共服务,中国特色社会主义,全球化,马克思主义,中美关系,全球治理,俄罗斯,东南亚,党的建设,公共政策,公共管理,服务型政府,公务员,毛泽东,知识产权,社会主义,现代化,国际关系,制度创新,应急管理,社会组织,公共行政,电子政务,协商民主,合法性,意识形态,中国外交,社会保障,政府职能,依法治国,中日关系,可持续发展,国家利益,领导干部,新加坡,地缘政治,公共利益,政治参与,互联网,绩效评估,国家安全,村民自治,民主政治,行政改革,制度建设,中国特色,马来西亚,农民工,民族主义,气候变化,国际关系理论,制度变迁,菲律宾,公民参与,依法行政,国际法,信息公开,政府治理,政策执行,政治发展,机构改革,非传统安全,城市化,危机管理,公共治理,国际秩序,公共性,社会资本,自由主义,东北亚,反腐败,路径选择,政府管理,体制改革,联合国,公共价值,事业单位,城镇化,绩效管理,公共部门,制度设计,软实力,外交政策,国际政治,法律制度,行政管理,政治文化,国际合作,公共产品,非政府组织,环境保护,社会转型,城市治理,经济发展,民族国家,民族地区,国际制度,当代中国,价值取向,有效性,恐怖主义,政府绩效,方法论,著作权,国际组织,突发事件,基层政府,治理结构,政府创新,非营利组织,指标体系,民主化,政府行为,多边主义,马克思,区域合作,市场经济,隐私权,制度化,国际机制,行政审批,国际格局,政治哲学,法律责任,中国化,公益诉讼,技术创新,交易成本,乡镇政府,本土化,美国外交,职能转变,传统文化,现实主义,能力建设,资本主义,朝鲜半岛,法律体系,环境法,官僚制,治理模式,市场化,反垄断,刑事诉讼
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,29,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2000,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,42,0,0,7,0,0,0,0,0,0,0,14,0,10,0,0,0,5,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,16,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,26
2001,69,14,0,93,329,16,96,156,23,35,34,45,321,0,0,61,84,111,0,225,84,0,0,952,0,0,45,14,254,4,15,67,7,6,62,5,4,45,164,73,164,0,38,388,32,10,0,93,14,0,38,0,67,70,13,0,1,24,0,0,0,6,14,0,0,0,0,20,0,0,13,48,0,0,0,0,91,0,0,0,0,980,0,0,115,203,17,2,0,57,0,0,14,36,0,5,25,0,156,3,29,0,19,0,2,0,160,0,0,0,0,0,85,2,81,317,16,26,2,0,69,182,0,14,0,0,9,0,0,60,0,0,82,0,0,108,0,0,9,0,0,185,0,0,0,0
2002,41,0,0,0,189,7,168,55,35,40,10,25,1230,0,0,43,39,92,9,45,0,0,0,198,3,0,30,118,226,94,0,0,66,23,414,0,0,41,11,0,51,1014,102,11,27,6,84,0,13,0,8,10,0,1281,29,0,0,14,0,0,0,29,59,0,1289,0,0,4,0,0,16,3,3,40,8,0,46,0,0,0,0,0,120,0,21,181,31,37,10,78,3,9,8,0,0,2,0,2,141,0,11,0,81,1014,12,18,29,0,0,0,0,11,49,10,0,57,30,62,25,0,0,159,0,7,0,0,0,0,0,15,0,10,35,37,0,160,0,53,15,8,16,150,0,0,3,4
2003,72,88,6,12,168,12,113,0,39,13,31,106,247,0,81,50,856,41,5,126,1376,0,0,24,186,0,411,64,417,146,57,0,15,154,214,0,40,37,315,102,85,0,33,13,27,37,16,13,0,0,0,0,35,0,15,0,0,40,13,0,71,0,4,13,0,854,0,21,112,3,119,5,2,0,320,10,20,0,58,43,0,19,0,0,168,112,28,0,0,9,70,14,19,480,0,0,0,0,0,7,44,31,109,0,9,48,0,0,38,1,3,504,70,0,0,48,26,36,12,0,47,31,11,24,22,23,0,362,5,0,0,0,6,0,0,31,1,12,83,80,91,37,1265,0,23,6
2004,67,931,729,0,268,43,28,75,77,165,37,372,913,0,242,22,607,5,73,450,81,4,42,16,233,0,229,25,87,127,140,0,43,13,70,0,80,14,12,123,0,1318,153,23,24,233,180,13,8,141,109,0,274,80,14,25,68,18,55,0,0,245,293,379,61,404,144,0,99,0,178,61,0,134,197,332,72,0,0,11,380,582,34,12,12,130,5,190,47,0,15,172,43,56,0,3,0,0,0,0,478,0,33,147,41,0,0,0,0,88,0,329,0,98,71,9,43,0,31,84,381,67,96,0,12,10,15,0,11,0,182,0,28,6,13,165,114,8,26,1,0,112,79,138,4,0
2005,48,366,543,10,141,41,89,23,62,49,0,90,1807,203,288,56,82,77,60,388,113,821,0,545,51,0,91,34,114,124,536,0,55,76,70,0,28,39,359,53,7,242,84,189,52,71,36,10,17,0,113,49,242,83,8,334,22,11,90,33,0,16,165,83,131,128,0,0,0,0,53,119,19,0,244,27,114,0,139,0,116,93,0,3,11,93,70,10,15,11,278,208,60,99,73,14,11,0,64,0,11,373,0,202,117,20,11,0,21,0,15,106,103,12,0,104,41,9,29,10,429,33,53,0,0,12,21,37,5,2,0,6,0,0,0,128,24,10,0,0,60,11,50,43,0,5
2006,96,322,928,2,167,22,70,117,61,131,28,443,490,643,402,14,175,122,35,256,52,0,0,52,180,209,106,0,284,372,353,8,39,60,55,0,7,42,14,32,2,82,45,66,15,52,55,24,31,635,179,86,180,37,0,64,65,56,0,151,89,35,10,99,25,123,171,19,18,63,109,45,77,209,115,38,31,64,0,0,84,159,12,28,71,58,31,213,26,2,67,86,132,25,142,0,538,40,99,0,20,68,26,205,11,8,45,6,0,101,46,144,243,11,6,35,28,171,8,51,31,36,0,6,3,0,38,94,21,0,147,15,33,181,1,58,0,0,21,15,20,59,26,12,7,18
2007,105,670,875,43,167,52,41,98,140,106,1,1726,927,196,311,14,581,112,47,169,71,370,13,44,112,16,42,6,61,20,228,0,84,30,0,28,11,141,48,44,3,344,8,97,24,164,30,51,19,157,31,125,79,248,13,174,7,58,0,70,38,33,0,5,72,261,305,0,10,93,13,132,0,0,0,12,26,7,32,19,161,26,70,164,16,212,20,21,26,13,161,38,140,191,94,6,9,6,41,112,40,0,15,329,42,25,10,80,24,65,20,75,238,29,0,0,52,16,0,7,0,21,0,6,1,9,52,93,14,62,43,12,17,45,18,3,0,4,45,0,46,16,28,35,70,0
2008,17,369,3010,62,113,63,32,25,57,47,6,150,150,1382,873,17,96,188,61,204,171,126,38,117,374,125,185,15,240,170,196,19,11,38,81,33,24,50,73,642,38,793,109,62,4,125,0,73,26,27,35,36,121,118,26,753,55,28,23,5,49,0,243,74,21,0,118,48,54,16,22,153,25,215,125,446,17,43,135,8,23,151,18,11,34,4,6,123,3,3,560,58,9,124,82,0,18,0,0,96,3,68,10,188,93,11,0,146,26,156,141,0,89,76,26,5,65,211,476,51,7,25,0,4,26,21,55,0,0,56,46,0,15,214,4,76,109,8,9,9,0,0,407,164,39,7
